nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw
NCT03852433,GILD,Phase 2,Success,2024-07-29,0.0438435588493514,0.034829961409861054
NCT04927975,ABBV,Phase 2,Success,2024-10-08,-0.010620872335743265,-0.005627896885107897
NCT04167670,PHAT,Phase 3,Success,2022-04-05,0.1147669196133867,0.1337252530793136
NCT04251156,NVO,Phase 3,Success,2024-11-29,0.04910518793603004,0.044376475855432584
NCT02781584,GILD,Phase 2,Success,2022-02-02,-0.08136977333266335,-0.07203010087123018
NCT03987451,NVO,Phase 2,Success,2024-05-29,-0.012906875598484309,-0.002139204565626107
NCT02987543,AZN,Phase 3,Success,2020-10-12,-0.015963899989038213,-0.006351770093796727
NCT03745820,BIIB,Phase 2,Failure,2023-04-18,-0.02527236625623886,0.0019674724978377967
NCT05195528,PHAT,Phase 3,Success,2023-12-29,0.01154888074737466,-0.010869503246587309
NCT02914522,GILD,Phase 3,Success,2021-04-21,-0.023766007558371296,-0.02078665144758507
NCT04806503,NVS,Phase 2,Failure,2023-08-30,-0.021063099097758577,-0.0104146729322101
NCT04045145,NBIX,Phase 2,Success,2024-07-18,-0.01732291586350129,-0.014783723283021466
NCT03811574,NVO,Phase 3,Success,2022-03-22,-0.010123019423496658,-0.007919994155666688
NCT01889238,PFE,Phase 2,Success,2018-08-22,-0.0015561199290866005,0.007365076118990732
NCT04349098,KPTI,Phase 2,Success,2021-11-01,0.39325180533541515,0.52399227317586
NCT02928224,PFE,Phase 3,Success,2020-07-14,0.0626134987484703,0.06395702307435602
NCT03889639,SNY,Phase 2,Success,2023-03-08,0.006800981735032849,-0.010050112013352375
NCT05652660,PFE,Phase 1,Success,2024-07-26,0.07802137805438111,0.07908490693028147
NCT05673889,PFE,Phase 1,Success,2024-08-16,-0.012282250790735817,0.0017332000072030063
NCT04172831,TNXP,Phase 3,Success,2022-08-08,-0.2782309112252416,-0.2033898305084747
NCT01541215,NVO,Phase 3,Success,2018-12-11,0.041666483261976334,0.024758826177393445
NCT03978520,ABBV,Phase 2,Success,2023-07-21,0.047785858140953465,0.036974710612251105
NCT03487276,IFRX,Phase 2,Failure,2021-04-08,0.050045248823799654,-0.028871363975815578
NCT03931291,APRE,Phase 2,Failure,2024-03-26,0.034871698602420724,0.05354333192034333
NCT02282020,AZN,Phase 3,Success,2019-12-02,-0.02584078345879143,-0.011484662831611314
NCT03739866,GILD,Phase 1,Success,2020-12-09,-0.017080439105803875,-0.012995615859953347
NCT05144984,NVO,Phase 2,Success,2026-04-09,0.0418175357392607,0.035724064322436355
NCT03345836,ABBV,Phase 3,Success,2022-08-15,2.9342028052540235e-05,0.003547798882049591
NCT03989232,NVO,Phase 3,Success,2021-10-22,0.009231660312449885,0.025800278339433547
NCT02141282,ABBV,Phase 2,Success,2022-12-19,-0.012111785578646984,-0.01607419833234136
NCT03987620,SCYX,Phase 3,Success,2021-09-08,0.032910253913935344,0.011993991422936334
NCT03060447,GILD,Phase 1,Success,2021-04-21,-0.023766007558371296,-0.02078665144758507
NCT04382053,NVS,Phase 2,Success,2021-11-30,-0.01863392477013847,-0.02392885823875268
NCT05692154,SNY,Phase 3,Success,2024-05-16,-0.03534159644591282,-0.03565035683351614
NCT04057937,AMGN,Phase 2,Success,2022-01-06,0.04867688309153953,0.01623336270089326
NCT04292730,GILD,Phase 3,Success,2021-01-26,-0.0237485392194089,-0.034338649109196595
NCT03864042,PFE,Phase 1,Failure,2024-09-27,-0.029079555905019094,-0.028135562433986516
NCT05421078,NAMS,Phase 2,Success,2024-09-27,0.12201277817087032,0.11189715134725353
NCT03781479,CPRX,Phase 2,Success,2021-06-01,-0.025668081949737978,-0.016100205747977436
NCT02958865,PFE,Phase 2,Success,2022-07-21,0.01810826614769414,0.020098651351583285
NCT03036150,AZN,Phase 3,Success,2021-07-07,-0.013502971665474005,-0.011275096703215581
