nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw
NCT03852433,GILD,Phase 2,Success,2024-07-29,0.04384352891031641,0.034829961409861054
NCT05567952,PFE,Phase 2,Success,2024-10-08,0.03173143395141917,0.035285908922260134
NCT04927975,ABBV,Phase 2,Success,2024-10-08,-0.010621069910894421,-0.005628062448008175
NCT02335944,NVS,Phase 1/2,Business Termination,2023-06-18,0.000933350303145588,0.008627564041994162
NCT04442503,BIIB,Phase 3,Success,2023-06-22,-0.03572315939528514,-0.053449051455068175
NCT03188185,ALKS,Phase 3,Success,2021-03-15,0.020001592350630114,0.04999995032946458
NCT04167670,PHAT,Phase 3,Success,2022-04-05,0.11476708860238295,0.1337252530793136
NCT04915950,PFE,Phase 2,Business Termination,2023-12-22,0.004325323415122859,0.01598016582697981
NCT04167462,BMY,Phase 3,Success,2022-11-02,0.030632224181962625,0.025380430940313614
NCT04987944,PFE,Phase 1,Business Termination,2024-07-19,0.0036955265658870015,-1.1102230246251565e-16
NCT02781584,GILD,Phase 2,Success,2022-02-02,-0.0813698633179217,-0.07203023119834273
NCT03987451,NVO,Phase 2,Success,2024-05-29,-0.012906807268592786,-0.0021391443927880616
NCT02987543,AZN,Phase 3,Success,2020-10-12,-0.015963611771098812,-0.0063515290145613745
NCT03499353,PFE,Phase 2,Business Termination,2021-11-09,0.13468371303358487,0.14435589720009467
NCT04065841,NVS,Phase 2,Business Termination,2023-12-26,0.0160250962470467,0.02913313465674605
NCT03721965,INCY,Phase 1/2,Failure,2023-02-21,-0.012984002352520684,-0.021297981657339204
NCT03963401,PFE,Phase 2,Success,2021-08-04,0.04918897553146975,0.052791735921741356
NCT03745820,BIIB,Phase 2,Success,2023-04-18,-0.02527219704494161,0.0019674724978377967
NCT04551053,INCY,Phase 3,Failure,2024-08-23,0.019526018107652008,0.019415968520154703
NCT04285580,ABBV,Phase 3,Success,2023-06-08,-0.0024331286217033257,0.006356871870548897
NCT02718300,INCY,Phase 2,Business Termination,2024-05-01,0.014845932406907236,0.04024763939773246
NCT05195528,PHAT,Phase 3,Success,2023-12-29,0.011548837276082228,-0.010869503246587309
NCT02914522,GILD,Phase 3,Success,2021-04-21,-0.023765968570607525,-0.02078665288564374
NCT05128773,SNY,Phase 3,Business Termination,2023-06-22,0.018795112843495602,0.027670922660552266
NCT05442775,CYTK,Phase 3,Failure,2024-08-13,0.0462397250082001,0.05666669209798192
NCT03802227,NKTR,Phase 1,Business Termination,2021-05-27,0.008449149446597396,0.014590439925807885
NCT03917459,NVS,Phase 3,Success,2024-01-08,0.01767845691067951,0.024995204454915987
NCT04806503,NVS,Phase 2,Failure,2023-08-30,-0.02106307552352055,-0.0104146729322101
NCT04203498,JAZZ,Phase 3,Business Termination,2024-05-08,0.014678417168456082,-0.0034542757515985123
NCT03841448,ALNY,Phase 2,Business Termination,2023-12-08,0.010635601094977486,0.020602276611035197
NCT04035668,NVS,Phase 2,Business Termination,2022-12-20,-0.0005726954279370591,0.000110074102313229
NCT04431453,GILD,Phase 2/3,Success,2023-12-22,-0.007421061210936761,0.011070730986975308
NCT04045145,NBIX,Phase 2,Success,2024-07-18,-0.017322815908312247,-0.014783723283021466
NCT03811574,NVO,Phase 3,Success,2022-03-22,-0.010122945325898755,-0.007919917865581882
NCT04478266,SNY,Phase 3,Business Termination,2023-07-06,-0.04773717772489074,-0.038404445071482884
NCT01889238,PFE,Phase 2,Success,2018-08-22,-0.0015557476977777203,0.0073653497477148555
NCT04349098,KPTI,Phase 2,Success,2021-11-01,0.3932517981598831,0.52399227317586
NCT04377620,INCY,Phase 3,Business Termination,2022-01-19,0.051799597977368356,0.015478606463407152
NCT02928224,PFE,Phase 3,Success,2020-07-14,0.06261378219160074,0.06395735163276428
NCT03889639,SNY,Phase 2,Success,2023-03-08,0.006800847672935941,-0.010050207234461817
NCT04329949,CORT,Phase 3,Business Termination,2023-11-18,-0.024938576153474026,-0.0015760051024961141
NCT03128411,PFE,Phase 2,Success,2020-11-24,0.016884722464099243,0.028737110024741774
NCT05047523,LXRX,Phase 3,Business Termination,2024-10-15,0.13077555099669327,0.1893490665137023
NCT02214160,RARE,Phase 2,Success,2021-12-08,0.03355846138347143,0.024865140593747892
NCT04553406,SPRO,Phase 2,Business Termination,2022-02-28,0.07163923595632359,0.1197182452214427
NCT04820686,ASMB,Phase 2,Business Termination,2023-11-14,-0.11905078213402578,-0.06666670905219185
NCT05652660,PFE,Phase 1,Success,2024-07-26,0.07802132438392981,0.07908483313102477
NCT05673889,PFE,Phase 1,Success,2024-08-16,-0.012282457351168265,0.0017330509256530124
NCT04422431,LXRX,Phase 2,Success,2023-07-03,0.019077422885714852,-0.013333320617675781
NCT04172831,TNXP,Phase 3,Success,2022-08-08,-0.2782304741028238,-0.2033898305084747
NCT03521934,LXRX,Phase 3,Business Termination,2022-10-28,0.004164717724591989,0.06220101424864777
NCT03903822,PFE,Phase 2,Success,2021-03-29,0.014849595376323315,0.017410519625552734
NCT02468232,NVS,Phase 3,Success,2023-12-08,0.011819459689162995,0.012374957107456064
NCT01541215,NVO,Phase 3,Success,2018-12-11,0.04166674484391848,0.024759122593251304
NCT01828112,NVS,Phase 3,Success,2017-07-27,0.016664135879494103,0.010796337081256269
NCT03978520,ABBV,Phase 2,Success,2023-07-21,0.04778584713805665,0.036974646817745205
NCT05165394,NBIX,Phase 2,Success,2024-07-31,0.0587412155608132,0.04318798505511823
NCT02435173,NVS,Phase 2/3,Success,2022-03-11,0.06065373369082303,0.05767076483834166
NCT03487276,IFRX,Phase 2,Failure,2021-04-08,0.05004575263701154,-0.028871363975815578
NCT02130557,PFE,Phase 3,Success,2018-11-14,-0.025949367782817718,-0.01738956680293624
NCT03931291,APRE,Phase 2,Success,2024-03-26,0.03487169846781818,0.05354333192034333
