nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw,category_refined
NCT03852433,GILD,Phase 2,Success,2024-07-29,0.0438435289103164,0.034829961409861,Success
NCT05567952,PFE,Phase 2,Success,2024-10-08,0.0317314339514191,0.0352859089222601,Success
NCT04927975,ABBV,Phase 2,Success,2024-10-08,-0.0106210699108944,-0.0056280624480081,Success
NCT02335944,NVS,Phase 1/2,Business Termination,2023-06-18,0.0009333503031455,0.0086275640419941,Business Termination
NCT04442503,BIIB,Phase 3,Success,2023-06-22,-0.0357231593952851,-0.0534490514550681,Success
NCT03188185,ALKS,Phase 3,Success,2021-03-15,0.0200015923506301,0.0499999503294645,Success
NCT04167670,PHAT,Phase 3,Success,2022-04-05,0.1147670886023829,0.1337252530793136,Success
NCT04915950,PFE,Phase 2,Business Termination,2023-12-22,0.0043253234151228,0.0159801658269798,Business Termination
NCT04167462,BMY,Phase 3,Success,2022-11-02,0.0306322241819626,0.0253804309403136,Success
NCT04987944,PFE,Phase 1,Business Termination,2024-07-19,0.003695526565887,-1.1102230246251563e-16,Business Termination
NCT02781584,GILD,Phase 2,Success,2022-02-02,-0.0813698633179217,-0.0720302311983427,Success
NCT03987451,NVO,Phase 2,Success,2024-05-29,-0.0129068072685927,-0.002139144392788,Success
NCT02987543,AZN,Phase 3,Success,2020-10-12,-0.0159636117710988,-0.0063515290145613,Success
NCT03499353,PFE,Phase 2,Business Termination,2021-11-09,0.1346837130335848,0.1443558972000946,Business Termination
NCT04065841,NVS,Phase 2,Business Termination,2023-12-26,0.0160250962470467,0.029133134656746,Business Termination
NCT03721965,INCY,Phase 1/2,Failure,2023-02-21,-0.0129840023525206,-0.0212979816573392,Failure
NCT03963401,PFE,Phase 2,Success,2021-08-04,0.0491889755314697,0.0527917359217413,Success
NCT03745820,BIIB,Phase 2,Success,2023-04-18,-0.0252721970449416,0.0019674724978377,Success
NCT04551053,INCY,Phase 3,Failure,2024-08-23,0.019526018107652,0.0194159685201547,Failure
NCT04285580,ABBV,Phase 3,Success,2023-06-08,-0.0024331286217033,0.0063568718705488,Success
NCT02718300,INCY,Phase 2,Business Termination,2024-05-01,0.0148459324069072,0.0402476393977324,Business Termination
NCT05195528,PHAT,Phase 3,Success,2023-12-29,0.0115488372760822,-0.0108695032465873,Success
NCT02914522,GILD,Phase 3,Success,2021-04-21,-0.0237659685706075,-0.0207866528856437,Success
NCT05128773,SNY,Phase 3,Business Termination,2023-06-22,0.0187951128434956,0.0276709226605522,Business Termination
NCT05442775,CYTK,Phase 3,Failure,2024-08-13,0.0462397250082001,0.0566666920979819,Failure
NCT03802227,NKTR,Phase 1,Business Termination,2021-05-27,0.0084491494465973,0.0145904399258078,Business Termination
NCT03917459,NVS,Phase 3,Success,2024-01-08,0.0176784569106795,0.0249952044549159,Success
NCT04806503,NVS,Phase 2,Failure,2023-08-30,-0.0210630755235205,-0.0104146729322101,Failure
NCT04203498,JAZZ,Phase 3,Business Termination,2024-05-08,0.014678417168456,-0.0034542757515985,Business Termination
NCT03841448,ALNY,Phase 2,Business Termination,2023-12-08,0.0106356010949774,0.0206022766110351,Excluded (possibly positive)
NCT04035668,NVS,Phase 2,Business Termination,2022-12-20,-0.000572695427937,0.0001100741023132,Business Termination
NCT04431453,GILD,Phase 2/3,Success,2023-12-22,-0.0074210612109367,0.0110707309869753,Success
NCT04045145,NBIX,Phase 2,Success,2024-07-18,-0.0173228159083122,-0.0147837232830214,Success
NCT03811574,NVO,Phase 3,Success,2022-03-22,-0.0101229453258987,-0.0079199178655818,Success
NCT04478266,SNY,Phase 3,Business Termination,2023-07-06,-0.0477371777248907,-0.0384044450714828,Excluded (possibly positive)
NCT01889238,PFE,Phase 2,Success,2018-08-22,-0.0015557476977777,0.0073653497477148,Success
NCT04349098,KPTI,Phase 2,Success,2021-11-01,0.3932517981598831,0.52399227317586,Success
NCT04377620,INCY,Phase 3,Business Termination,2022-01-19,0.0517995979773683,0.0154786064634071,Business Termination
NCT02928224,PFE,Phase 3,Success,2020-07-14,0.0626137821916007,0.0639573516327642,Success
NCT03889639,SNY,Phase 2,Success,2023-03-08,0.0068008476729359,-0.0100502072344618,Success
NCT04329949,CORT,Phase 3,Business Termination,2023-11-18,-0.024938576153474,-0.0015760051024961,Failure
NCT03128411,PFE,Phase 2,Success,2020-11-24,0.0168847224640992,0.0287371100247417,Success
NCT05047523,LXRX,Phase 3,Business Termination,2024-10-15,0.1307755509966932,0.1893490665137023,Business Termination
NCT02214160,RARE,Phase 2,Success,2021-12-08,0.0335584613834714,0.0248651405937478,Success
