nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT03852433,GILD,PHASE2,success,Phase 2,Success,0.1191951195023302,0.1790624532438678,0.1371013185858081,0.0467636365201675,0.1285575375935892,False,True,False,False,False,
NCT04927975,ABBV,PHASE2,success,Phase 2,Success,-0.0343732972162862,-0.0698376402821515,-0.0350627290654544,-0.0128184646863673,-0.0078956860528861,False,False,False,False,True,
NCT04167670,PHAT,PHASE3,success,Phase 3,Success,0.0100161944495177,-0.1597624012249612,-0.0094604685786386,-0.0285692058495848,0.2665514644253144,False,False,True,False,False,
NCT04251156,NVO,PHASE3,success,Phase 3,Success,0.046190375269517,0.1705493845714962,0.0316631264173374,-0.0453677553717978,-0.1114555051859601,False,False,False,False,True,
NCT02927314,CANF,PHASE2,success,Phase 2,Success,0.0459643631660333,-0.3871716020380122,-0.0256410256410258,-0.1597032530951669,-0.0357142857142857,False,True,False,False,False,
NCT02781584,GILD,PHASE2,success,Phase 2,Success,0.0286295206041832,0.188523019033717,0.0440859949978773,0.0900260566872956,-0.2062226686350404,False,True,False,False,False,
NCT03987451,NVO,PHASE2,success,Phase 2,Success,0.0618954719048267,0.1540198655196955,0.0742981359908092,0.0314400353824901,0.1877224825849497,False,True,False,False,False,
NCT02987543,AZN,PHASE3,success,Phase 3,Success,-0.0033354016986103,-0.0902845803920306,-0.0174054857708517,-0.0538019823384462,0.0852829689548639,False,True,False,False,False,
NCT03745820,BIIB,PHASE2,failure_efficacy_safety,Phase 2,Failure,-0.0415694373838011,-0.0031726947651156,-0.0495829444689333,-0.020517420876417,-0.1444776327625266,False,False,False,True,True,
NCT05195528,PHAT,PHASE3,success,Phase 3,Success,-0.0812337790009761,0.2963380129873333,-0.0942812482933911,-0.0139265321242311,-0.2331112993254228,False,False,False,False,True,
NCT02914522,GILD,PHASE3,success,Phase 3,Success,-0.03879473754739,-0.153843823739429,-0.037697900555548,-0.010595954081303,0.1388690195325219,False,True,False,False,False,
NCT01926587,TRAW,PHASE1/PHASE2,success,Phase 2,Success,0.4884875055705564,1.168524759478248,0.5172413793103448,-0.0682699373625342,-0.1206896551724138,False,True,False,False,False,
NCT04806503,NVS,PHASE2,failure_efficacy_safety,Phase 2,Failure,0.0454706700484807,-0.0115728811255148,0.0528125200885947,0.0546140869325557,-0.0268886318591055,False,False,False,False,True,
NCT05094050,ABBV,PHASE1,success,Phase 1,Success,0.0415394112810885,0.0777322944772494,0.0409315589463894,0.0191441791367212,-0.0097203642108357,False,False,False,False,True,
NCT04045145,NBIX,PHASE2,success,Phase 2,Success,-0.0268098501394808,-0.1430912096576131,-0.0024752015935354,0.0349123971283562,0.0522348783369917,False,True,False,False,False,
NCT03811574,NVO,PHASE3,success,Phase 3,Success,-0.0007908991203398,-0.0917044700528772,0.0158494292102555,0.0540093708847366,0.1223388387684891,False,True,True,False,False,unconfirmed_recovery_candidate
NCT01889238,PFE,PHASE2,success,Phase 2,Success,0.0067055331749085,0.1428752582875078,-0.0065525804943858,0.0053109032551519,-0.2594070964132589,False,True,True,False,False,
NCT04349098,KPTI,PHASE2,success,Phase 2,Success,-0.088453724344481,0.0489746217971683,-0.0187338109470182,0.0766201670538733,-0.1504424492901419,False,False,False,True,True,
NCT02928224,PFE,PHASE3,success,Phase 3,Success,0.0206276768697369,-0.0056618938773153,0.0039880172989763,-0.0391481100250763,-0.085874284823375,False,True,False,False,False,confirmed_wrong_match
NCT03889639,SNY,PHASE2,success,Phase 2,Success,0.0391898469379357,-0.0490189862214566,0.0587018025484631,0.0632134303179488,0.148863503403547,False,True,False,False,False,
NCT05652660,PFE,PHASE1,success,Phase 1,Success,0.0067057059065689,0.1428751812467684,-0.0065524201252593,0.0053109032551519,-0.2594070964132589,False,True,True,False,False,
