nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry,completion_year,labels,ticker,cik,title,score,is_pharma_sic,sic_description,outcome_category,intervention_types,intervention_names,modality,error,pubchem_verified_small_molecule_or_peptide,resolution_method,n_filings_checked,verified_filing_url,verified_filing_date,verified_context,ctod_original_outcome_category,ctod_original_label,label_correction_reason,car,price_beta,price_anchor_date,price_pull_error,needs_reverification
NCT03852433,,2019-02-21,2024-06-24,2023-03-24,2024-09-24,2019-02-21,2019-02-25,ACTUAL,2024-07-26,2024-07-29,ACTUAL,,2024-07-29,ACTUAL,2024-09-24,2024-10-08,ACTUAL,2019-05-31,ACTUAL,2019-05-31,2024-09,2024-09-30,2022-09-28,ACTUAL,2022-09-28,2022-04-05,ACTUAL,2022-04-05,,INTERVENTIONAL,,All Randomized Analysis Set included all participants who were enrolled (informed consent signed) and randomized in the study.,Study to Assess Efficacy and Safety of Bulevirtide in Combination With Pegylated Interferon Alfa-2a in Participants With Chronic Hepatitis Delta (CHD),"A Multicenter, Open-label, Randomized Phase 2b Clinical Study to Assess Efficacy and Safety of Bulevirtide in Combination With Pegylated Interferon Alfa-2a in Patients With Chronic Hepatitis Delta",COMPLETED,,PHASE2,175.0,ACTUAL,Gilead Sciences,,4.0,,,f,,,,f,t,f,,,t,,,,,,NO,,2024-10-15 17:01:34.860787,2024-10-15 17:01:34.860787,INDUSTRY,,,,,,,2022,1.0,GILD,882095.0,"GILEAD SCIENCES, INC.",100.0,True,"Biological Products, (No Diagnostic Substances)",success,DRUG,Bulevirtide,small_molecule_candidate,,True,edgar_primary,8,https://www.sec.gov/Archives/edgar/data/882095/000088209522000022/exhibit991earningspressrel.htm,2022-10-27,"the arrangement with Dragonfly&#59; patent protection and estimated loss of exclusivity for our products and product candidates&#59; Gilead&#8217;s ability to initiate, progress or complete clinical trials within currently anticipated timeframes or at all, the possibility of unfavorable results from ongoing and additional clinical trials, including those involving Trodelvy, Tecartus, Yescarta and bulevirtide, and the risk that safety and efficacy data from clinical trials may not warrant further development of Gilead&#8217;s product candidates or the product candidates of Gilead&#8217;s strategic partners&#59; Gilead&#8217;s ability to submit new drug applications for new product candidates or expanded indications in the currently anticipated timelines&#59; Gilead&#8217;s ability to receive regulator",success,1.0,,0.1790624532438678,0.244884876715086,2022-10-27,,False
NCT04927975,,2021-06-11,2024-08-27,2023-12-12,2024-09-30,2021-06-11,2021-06-16,ACTUAL,2024-09-30,2024-10-08,ACTUAL,,2024-10-08,ACTUAL,2024-09-30,2024-10-08,ACTUAL,2021-06-30,ACTUAL,2021-06-30,2024-09,2024-09-30,2023-08-29,ACTUAL,2023-08-29,2023-01-13,ACTUAL,2023-01-13,,INTERVENTIONAL,,"ITT Population in Period 1 (ITT_1): all randomized participants in Period 1, analyzed according to the treatment groups that they were randomized to.",Study to Evaluate Adverse Events and Change in Disease Activity With Oral Tablets of Upadacitinib in Adult Participants With Non-Segmental Vitiligo,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Dose-Ranging Study to Evaluate the Safety and Efficacy of Upadacitinib in Subjects With Non-Segmental Vitiligo",COMPLETED,,PHASE2,185.0,ACTUAL,AbbVie,,5.0,,,f,,,,t,t,f,,,t,,,For details on when studies are available for sharing visit https://vivli.org/ourmember/abbvie/,"Access to this clinical trial data can be requested by any qualified researchers who engage in rigorous independent scientific research, and will be provided following review and approval of a research proposal and statistical analysis plan and execution of a data sharing statement. Data requests can be submitted at any time after approval in the US and/or EU and a primary manuscript is accepted for publication. For more information on the process, or to submit a request, visit the following link https://www.abbvieclinicaltrials.com/hcp/data-sharing/",https://vivli.org/ourmember/abbvie/,YES,"AbbVie is committed to responsible data sharing regarding the clinical trials we sponsor. This includes access to anonymized, individual and trial-level data (analysis data sets), as well as other information (e.g., protocols, analyses plans, clinical study reports), as long as the trials are not part of an ongoing or planned regulatory submission. This includes requests for clinical trial data for unlicensed products and indications.",2024-10-15 17:01:34.860787,2024-10-15 17:01:34.860787,INDUSTRY,,,,,,,2023,1.0,ABBV,1551152.0,AbbVie Inc.,100.0,True,Pharmaceutical Preparations,success,DRUG;DRUG,Upadacitinib;Placebo,small_molecule_candidate,,True,edgar_primary,14,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000040/abbv-20230930xexhibit991.htm,2023-10-27,"ority for clinical remission per CDAI at week 24 and superiority of endoscopic remission at week 48) versus Stelara. All secondary endpoints in the trial achieved statistical significance for superiority versus Stelara. Safety results were consistent with the overall safety profile of Skyrizi, with no new safety risks identified. &#8226; AbbVie announced that its Phase 2b study evaluating Rinvoq (upadacitinib) in adults with non-segmental vitiligo (NSV) met the primary endpoint of percent change from baseline in the Facial Vitiligo Area Scoring Index (F-VASI) at week 24 with the 11 mg and 22 mg doses versus placebo. The percent reduction from baseline in F-VASI at week 52 was numerically greater than results at week 24 for all Rinvoq doses. No new safety signals were identified beyond the known safety",success,1.0,,-0.0698376402821515,0.0637681269548184,2023-10-27,,False
NCT04167670,,2019-11-15,2022-03-09,,2022-03-09,2019-11-15,2019-11-19,ACTUAL,2022-03-09,2022-04-05,ACTUAL,,,,2022-03-09,2022-04-05,ACTUAL,2019-12-10,ACTUAL,2019-12-10,2022-03,2022-03-31,2021-03-18,ACTUAL,2021-03-18,2021-03-10,ACTUAL,2021-03-10,,INTERVENTIONAL,,Randomized Set - All participants randomly assigned to receive study drug regardless of whether or not they received a dose of study drug during the study.,Efficacy and Safety of Vonoprazan Compared to Lansoprazole in Participants With Helicobacter Pylori Infection,A Phase 3 Randomized Multicenter Study to Evaluate the Efficacy and Safety of Open-Label Dual Therapy With Oral Vonoprazan 20 mg or Double-Blind Triple Therapy With Oral Vonoprazan 20 mg Compared to Double-Blind Triple Therapy With Oral Lansoprazole 30 mg Daily in Patients With Helicobacter Pylori Infection,COMPLETED,,PHASE3,1046.0,ACTUAL,"Phathom Pharmaceuticals, Inc.",,3.0,,,f,,,,f,t,f,,,,,,,,,NO,,2024-10-17 02:48:38.241354,2024-10-17 02:48:38.241354,INDUSTRY,,,,,,,2021,1.0,PHAT,1783183.0,"Phathom Pharmaceuticals, Inc.",100.0,True,Pharmaceutical Preparations,success,DRUG,Vonoprazan,small_molecule_candidate,,True,edgar_primary,17,https://www.sec.gov/Archives/edgar/data/1783183/000119312521140479/d144736d8k.htm,2021-04-29," or revised financial accounting standards provided pursuant to Section&nbsp;13(a) of the Exchange Act. &nbsp;&nbsp;&#9746; &nbsp; &nbsp; &nbsp; Item 8.01 Other Events. On April&nbsp;29, 2021, Phathom Pharmaceuticals, Inc. (the &#147;Company&#148;), announced that in PHALCON-HP, its pivotal Phase 3 clinical trial for the eradication of Helicobacter pylori (&#147; H. pylori &#148;) infection, both vonoprazan-based regimens successfully met their primary endpoints and met all secondary endpoints. The trial studied vonoprazan in combination with amoxicillin and clarithromycin (&#147;vonoprazan triple therapy&#148;) and vonoprazan in combination with amoxicillin (&#147;vonoprazan dual therapy&#148;) compared to lansoprazole in combination with amoxicillin and clarithromycin (&#147;lansoprazole triple th",success,1.0,,-0.1597624012249612,0.7008888579887277,2021-04-29,,False
NCT04251156,,2020-01-30,,,2023-06-26,2020-01-30,2020-01-31,ACTUAL,,,,,,,2023-06-26,2023-06-27,ACTUAL,2020-12-08,ACTUAL,2020-12-08,2023-06,2023-06-30,2022-09-18,ACTUAL,2022-09-18,2022-08-23,ACTUAL,2022-08-23,,INTERVENTIONAL,STEP 7,,Research Study of How Well Semaglutide Works in People Living With Overweight or Obesity,Effect and Safety of Semaglutide 2.4 mg Once-weekly on Weight Management in Subjects With Overweight or Obesity,COMPLETED,,PHASE3,375.0,ACTUAL,Novo Nordisk A/S,,2.0,,,f,,,,f,f,f,,,,,,,,http://novonordisk-trials.com,YES,According to the Novo Nordisk disclosure commitment on novonordisk-trials.com,2024-10-17 03:15:13.372527,2024-10-17 03:15:13.372527,INDUSTRY,,,,,,,2022,1.0,NVO,353278.0,NOVO NORDISK A S,90.32258064516128,True,Pharmaceutical Preparations,success,DRUG,Semaglutide,small_molecule_candidate,,True,edgar_primary,83,https://www.sec.gov/Archives/edgar/data/353278/000162828022027653/caq32022.htm,2022-11-02,t&#58; &#8226; Approval of Ozempic &#174; 2.0 mg in the US &#8226; Successful completion of phase 3a trials with once-weekly insulin icodec &#8226; Successful completion of phase 2 trial with CagriSema in people with type 2 diabetes &#8226; Phase 1 trial with Ideal Pump insulin successfully completed &#8226; Phase 1 trial initiated with a once-daily oral GLP-1&#47;GIP agonist and once-weekly oral semaglutide Stre Develop superior treatment solutions for obesity&#58; &#8226; STEP TEENs phase 3 trial successfully completed &#8226; Phase 3a initiation with CagriSema in people with obesity &#8226; Phase 1 initiation with oral amycretin the Strengthen and progress Rare disease pipeline&#58; &#8226; Concizumab phase 3 trial completed in people with haemophilia A and B with inhibitors and in people without ,success,1.0,,0.1705493845714962,0.2307966111178577,2022-11-02,,False
NCT02927314,,2016-09-25,,,2020-03-16,2016-10-06,2016-10-07,ESTIMATED,,,,,,,2020-03-16,2020-03-17,ACTUAL,2017-11-27,ACTUAL,2017-11-27,2020-03,2020-03-31,2020-03-01,ACTUAL,2020-03-01,2020-03-01,ACTUAL,2020-03-01,,INTERVENTIONAL,,,A Study of the Efficacy and Safety of CF102 in the Treatment of Non-Alcoholic Fatty Liver Disease,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Finding Study of the Efficacy and Safety of CF102 in the Treatment of Non-Alcoholic Fatty Liver Disease (NAFLD) and Non-Alcoholic Steatohepatitis (NASH)",COMPLETED,,PHASE2,60.0,ACTUAL,Can-Fite BioPharma,,3.0,,,f,,,,,f,f,,,f,,,,,,,,2024-10-17 03:27:53.016507,2024-10-17 03:27:53.016507,INDUSTRY,,,,,,,2020,1.0,CANF,1536196.0,Can-Fite BioPharma Ltd.,100.0,True,Pharmaceutical Preparations,success,DRUG;DRUG,CF102;Placebo,needs_name_lookup,,True,edgar_primary,51,https://www.sec.gov/Archives/edgar/data/1536196/000121390020005673/ea119417ex99-1_canfite.htm,2020-03-09,"an: CANF) (TASE:CFBI) 15 Namodenoson Advanced Liver Cancer &amp; NASH Namodenoson &#8211; Liver Disease Drug Mechanism of Action &nbsp; &nbsp; (NYSE American: CANF) (TASE:CFBI) &#8226; While the study ( 78 patients) did not achieve its primary endpoint, it did achieve superiority in survival in the largest subpopulation of CPB 7 , 56 patients - 6.8 month median overall survival vs. 4.3 months for placebo &#8226; CPB 7 group treated with Namodenoson had 44 % of patients treated with Namodenoson completed at least 12 months of treatment vs. 18 % &#8226; Partial response of 9 % has been achieved in the Namodenoson treated group vs. 0 % in the placebo group &#8226; Favorable safety profile and lack of hepatotoxicity Liver Cancer - Phase II Data CPB7 Overall Survival 44% 18% -5% 5% 15% 25% 35% 45% 55%",success,1.0,,-0.3871716020380122,0.106402189038789,2020-03-09,,False
NCT02781584,,2016-05-20,2022-01-04,,2022-03-07,2016-05-20,2016-05-24,ESTIMATED,2022-01-04,2022-02-02,ACTUAL,,,,2022-03-07,2022-03-16,ACTUAL,2016-06-13,ACTUAL,2016-06-13,2022-03,2022-03-31,2020-12-17,ACTUAL,2020-12-17,2020-12-17,ACTUAL,2020-12-17,,INTERVENTIONAL,,,"Safety, Tolerability, and Efficacy of Selonsertib, Firsocostat, and Cilofexor in Adults With Nonalcoholic Steatohepatitis (NASH)","A Proof of Concept, Open-Label Study Evaluating the Safety, Tolerability, and Efficacy of Regimens in Subjects With Nonalcoholic Steatohepatitis (NASH)",COMPLETED,,PHASE2,220.0,ACTUAL,Gilead Sciences,,13.0,,,f,,,,t,t,f,,,,,,,,,NO,,2024-10-15 17:08:29.332887,2024-10-15 17:08:29.332887,INDUSTRY,,,,,,,2020,1.0,GILD,882095.0,"GILEAD SCIENCES, INC.",100.0,True,"Biological Products, (No Diagnostic Substances)",success,DRUG;DRUG;DRUG;DRUG;DRUG,SEL;FIR;CILO;FENO;VAS,small_molecule_candidate,,True,edgar_primary,6,https://www.sec.gov/Archives/edgar/data/882095/000088209521000005/exhibit991earningspressrel.htm,2021-02-04,"uating magrolimab, in combination with azacitidine in previously untreated acute myeloid leukemia patients. Inflammatory Diseases &#8226; Gilead and Novo Nordisk A&#47;S presented results from a Phase 2 proof-of-concept trial evaluating combinations of Novo Nordisk&#8217;s semaglutide with Gilead&#8217;s investigational FXR agonist cilofexor and&#47;or Gilead&#8217;s investigational ACC inhibitor firsocostat in people with non-alcoholic steatohepatitis. - more - February 4, 2021 9 Corporate Development Viral Diseases &#8226; Gilead entered into a definitive agreement to acquire MYR GmbH for approximately &#8364;1.2 billion in cash payable upon closing of the transaction, plus a potential future milestone payment of up to &#8364;300 million. &#9702; Upon closing, the acquisition will provide G",success,1.0,,0.188523019033717,0.3352039403894152,2021-02-04,,False
NCT03987451,,2019-06-12,2024-04-10,2022-04-19,2024-05-28,2019-06-12,2019-06-17,ACTUAL,2024-05-28,2024-05-29,ACTUAL,,2024-05-29,ACTUAL,2024-05-28,2024-05-29,ACTUAL,2019-06-18,ACTUAL,2019-06-18,2024-05,2024-05-31,2021-06-10,ACTUAL,2021-06-10,2021-04-22,ACTUAL,2021-04-22,,INTERVENTIONAL,,Full analysis set (FAS) included all randomized participants.,A Research Study on How Semaglutide Works in People With Fatty Liver Disease and Liver Damage,Investigation of Efficacy and Safety of Semaglutide s.c. Once-weekly Versus Placebo in Subjects With Non-alcoholic Steatohepatitis and Compensated Liver Cirrhosis,COMPLETED,,PHASE2,71.0,ACTUAL,Novo Nordisk A/S,,2.0,,,f,,,,f,t,f,,,,,,,,http://novonordisk-trials.com,YES,According to the Novo Nordisk disclosure commitment on novonordisk-trials.com,2024-10-15 17:27:29.412593,2024-10-15 17:27:29.412593,INDUSTRY,,,,,,,2021,1.0,NVO,353278.0,NOVO NORDISK A S,90.32258064516128,True,Pharmaceutical Preparations,success,DRUG,Semaglutide,small_molecule_candidate,,True,edgar_primary,91,https://www.sec.gov/Archives/edgar/data/353278/000162828021015488/caq22021.htm,2021-08-04,"t). Strategic aspirations Performance highlights Commercial execution Financials Cash flow and capital allocation Outlook Innovation and therapeutic focus Purpose and sustainability Financial Information &#160;Company announcement No 48 &#47; 2021 Financial report for the period 1 January 2021 to 30 June 2021 Page 18 of 31 INNOVATION AND THERAPEUTIC FOCUS Diabetes care Resubmission of once-weekly semaglutide 2.0 mg for the treatment of type 2 diabetes for US regulatory approval On 28 May 2021, Novo Nordisk resubmitted a label expansion application to the US Food and Drug Administration (FDA) for Ozempic &#174; , a once-weekly GLP-1 analogue, to introduce a new dose of 2.0 mg. The resubmission follows the Refusal to File letter received by the FDA on 22 March 2021. The standard review time by the FDA ",success,1.0,,0.1540198655196955,0.1537114159397167,2021-08-04,,False
NCT02987543,,2016-11-15,2020-06-03,,2023-10-04,2016-12-06,2016-12-09,ESTIMATED,2020-09-18,2020-10-12,ACTUAL,,,,2023-10-04,2023-10-06,ACTUAL,2017-02-06,ACTUAL,2017-02-06,2023-09,2023-09-30,2023-02-15,ACTUAL,2023-02-15,2019-06-04,ACTUAL,2019-06-04,,INTERVENTIONAL,,,Study of Olaparib (Lynparza™) Versus Enzalutamide or Abiraterone Acetate in Men With Metastatic Castration-Resistant Prostate Cancer (PROfound Study),"A Phase III, Open Label, Randomized Study to Assess the Efficacy and Safety of Olaparib (Lynparza™) Versus Enzalutamide or Abiraterone Acetate in Men With Metastatic Castration-Resistant Prostate Cancer Who Have Failed Prior Treatment With a New Hormonal Agent and Have Homologous Recombination Repair Gene Mutations (PROfound)",COMPLETED,,PHASE3,387.0,ACTUAL,AstraZeneca,,2.0,,,f,,,,t,t,f,,,,,,,,,,,2024-10-15 17:27:29.412593,2024-10-15 17:27:29.412593,INDUSTRY,,,,,,,2023,1.0,AZN,901832.0,ASTRAZENECA PLC,100.0,True,Pharmaceutical Preparations,success,DRUG,olaparib,small_molecule_candidate,,True,edgar_primary,77,https://www.sec.gov/Archives/edgar/data/901832/000165495423001978/a7769q.htm,2023-02-23," an extensive development programme spanning early to late-stage disease&#xA0;across settings. &#xA0; Enhertu &#xA0; (trastuzumab deruxtecan), a HER2-directed antibody drug conjugate, is approved in HER2-positive advanced gastric cancer and is being assessed in colorectal cancer.&#xA0; Enhertu &#xA0;is jointly developed and commercialised by AstraZeneca and Daiichi Sankyo. &#xA0; Lynparza &#xA0; (olaparib), a first-in-class PARP inhibitor, is approved in BRCA-mutated metastatic pancreatic cancer. Lynparza is developed and commercialised in collaboration with MSD (Merck &amp; Co., Inc. inside the US and Canada). &#xA0; AstraZeneca in oncology AstraZeneca is leading a revolution in oncology with the ambition to provide cures for cancer in every form, following the science to understand cancer and al",success,1.0,,-0.0902845803920306,0.3042743847683746,2023-02-23,,False
NCT03745820,,2018-11-15,2023-03-23,,2023-03-23,2018-11-15,2018-11-19,ACTUAL,2023-03-23,2023-04-18,ACTUAL,,,,2023-03-23,2023-04-18,ACTUAL,2018-11-15,ACTUAL,2018-11-15,2023-03,2023-03-31,2022-04-07,ACTUAL,2022-04-07,2022-03-23,ACTUAL,2022-03-23,,INTERVENTIONAL,TALLY,Intent-to-treat (ITT) population included all randomized participants who received at least one dose of study treatment (BIIB104 or placebo).,A Study to Evaluate the Safety and Efficacy of BIIB104 in Participants With Cognitive Impairment Associated With Schizophrenia (CIAS),"A Phase 2, Randomized, Double-Blind, Multiple-Dose, Placebo-Controlled Study to Evaluate the Safety and Efficacy of BIIB104 in Subjects With Cognitive Impairment Associated With Schizophrenia (CIAS)",COMPLETED,,PHASE2,195.0,ACTUAL,Biogen,,3.0,,,f,,,,t,t,f,,,,,,,,,,,2024-10-15 07:13:04.868399,2024-10-15 07:13:04.868399,INDUSTRY,,,,,,,2022,0.0,BIIB,875045.0,BIOGEN INC.,100.0,True,"Biological Products, (No Diagnostic Substances)",failure_efficacy_safety,DRUG,BIIB104,needs_name_lookup,,True,edgar_primary,7,https://www.sec.gov/Archives/edgar/data/875045/000087504522000020/exhibit991-q22022pressrele.htm,2022-07-20," the proof-of-concept Phase 2b (Study 201 Core) in 856 people with early AD with confirmed presence of amyloid pathology, biomarker and safety data from the Study 201 OLE (180 subjects), and blinded safety data from the confirmatory Clarity AD Phase 3 study. The FDA is expected to make a decision on approval by January 6, 2023. &#8226; In July 2022 Biogen announced that the TALLY Phase 2 study of BIIB104 in cognitive impairment associated with schizophrenia did not meet its primary or secondary efficacy endpoints. Most adverse events in the BIIB104 treatment arms were mild to moderate in severity. Given the consistent lack of efficacy observed across the primary and secondary measures of cognition and functioning, while demonstrating expected drug-exposure levels during the entire 12-week evaluat",success,1.0,BIIB104 TALLY study: did not meet primary/secondary endpoints,-0.0031726947651156,0.3755466669452251,2022-07-20,,False
NCT05195528,,2022-01-04,2023-11-17,,2023-12-13,2022-01-04,2022-01-19,ACTUAL,2023-12-13,2023-12-29,ACTUAL,,,,2023-12-13,2023-12-29,ACTUAL,2022-01-17,ACTUAL,2022-01-17,2023-12,2023-12-31,2023-05-17,ACTUAL,2023-05-17,2022-11-21,ACTUAL,2022-11-21,,INTERVENTIONAL,,"Data is presented for the Placebo-controlled treatment Period, ITT population.",A Study to Evaluate the Efficacy and Safety of Vonoprazan Compared to Placebo for Relief of Heartburn in Participants With Symptomatic Non-Erosive Gastroesophageal Reflux Disease (NERD),"A Phase 3, Randomized, Double-Blind, Multicenter Study to Evaluate the Efficacy and Safety of Vonoprazan 10 and 20 mg Compared to Placebo for Relief of Heartburn in Subjects With Symptomatic Non-Erosive Gastroesophageal Reflux Disease (NERD) After 4 Weeks and to Evaluate the Efficacy and Safety of Vonoprazan 10 and 20 mg for Relief of Heartburn in Subjects With NERD After 6 Months",COMPLETED,,PHASE3,776.0,ACTUAL,"Phathom Pharmaceuticals, Inc.",,3.0,,,f,,,,f,t,f,,,,,,,,,NO,,2024-10-16 05:40:52.072224,2024-10-16 05:40:52.072224,INDUSTRY,,,,,,,2023,1.0,PHAT,1783183.0,"Phathom Pharmaceuticals, Inc.",100.0,True,Pharmaceutical Preparations,success,DRUG,Vonoprazan,small_molecule_candidate,,True,edgar_primary,19,https://www.sec.gov/Archives/edgar/data/1783183/000119312523151785/d503681d8k.htm,2023-05-23,"ransition period for complying with any new or revised financial accounting standards provided pursuant to Section&#160;13(a) of the Exchange Act.&#160;&#160; &#9746; &#160; &#160; &#160; Item&#160;8.01 Other Events. On May 23, 2023, Phathom Pharmaceuticals, Inc. (&#8220;Phathom&#8221; or the &#8220;Company&#8221;) announced that it has resubmitted its New Drug Application (&#8220;NDA&#8221;) for vonoprazan, a novel first-in-class potassium-competitive acid blocker (&#8220;PCAB&#8221;), for the treatment of erosive gastroesophageal reflux disease (&#8220;Erosive GERD&#8221;) to the U.S. Food and Drug Administration (the &#8220;FDA&#8221;). This resubmission responds to the Complete Response Letter (&#8220;CRL&#8221;) issued by the FDA in February 2023 relating to specifications and controls for a ni",success,1.0,,0.2963380129873333,1.058707304814343,2023-05-23,,False
